S. No. ,State ,Number of persons currently on death row,Persons sentenced to death in 2019,Total no. of judgments,Judgments available,Judgments not available
1,Andhra Pradesh,0,0,0,0,0
2,Assam,10,4,4,2,2
3,Bihar,28,7,5,3,2
4,Chhattisgarh,8,1,1,0,1
5,Delhi,9,0,0,0,0
6,Gujarat,4,2,2,1,1
7,Haryana,11,0,0,0,0
8,Himachal Pradesh,3,0,0,0,0
9,Jammu and Kashmir,10,0,0,0,0
10,Jharkhand,23,8,6,4,2
11,Karnataka,27,8,10,7,3
12,Kerala,19,4,4,4,0
13,Madhya Pradesh,34,11,11,10,1
14,Maharashtra,45,7,7,4,3
15,Manipur,2,2,2,1,1
16,Orissa,5,4,4,2,2
17,Punjab,8,2,2,1,1
18,Rajasthan,16,13,7,1,6
19,Tamil Nadu,13,3,3,1,2
20,Telangana,7,1,1,1,0
21,Tripura,2,1,1,0,1
22,Uttarakhand,14,2,2,2,0
23,Uttar Pradesh,54,11,8,7,1
24,West Bengal,26,8,4,2,2
,,378,99,84,53,31
,,,102,,,
